loc_nr,loc_lat,loc_lon,loc_nm,reg_nr,reg_nm
101,52.531,6.150,Berkum,12,Overijssel
102,52.584,6.194,Lichtmis,12,Overijssel
103,52.676,6.193,Lankhorst A32,12,Overijssel
104,52.742,6.194,Veendijk,12,Overijssel
105,52.804,6.102,Steenwijk,12,Overijssel
106,52.500,6.054,Katerveer,12,Overijssel
107,52.582,5.857,Eilandbrug,12,Overijssel
109,52.197,6.942,Enschede,12,Overijssel
111,52.419,6.249,Heino,12,Overijssel
112,52.368,6.413,Nijverdal,12,Overijssel
113,52.558,6.482,Ommen N36,12,Overijssel
201,52.022,5.064,Nieuwegein,1,Midden Nederland
202,52.066,5.070,Oudenrijn,1,Midden Nederland
203,52.081,4.943,Harmelen,1,Midden Nederland
204,52.195,4.987,Breukelen,1,Midden Nederland
205,52.061,5.092,Galecopperbrug,1,Midden Nederland
206,52.003,5.115,Hagestein,1,Midden Nederland
207,52.056,5.147,Lunetten,1,Midden Nederland
208,52.058,5.391,Maarn,1,Midden Nederland
209,52.081,5.161,Rijnsweerd,1,Midden Nederland
210,52.093,5.200,De Bilt,1,Midden Nederland
211,52.115,5.308,Soesterberg,1,Midden Nederland
212,52.131,5.379,Leusden,1,Midden Nederland
213,52.191,5.190,Hilversum,1,Midden Nederland
214,52.236,5.233,Eemnes,1,Midden Nederland
215,52.208,5.365,Bunschoten,1,Midden Nederland
216,52.003,5.075,Vianen,1,Midden Nederland
217,52.044,5.526,Veenendaal,1,Midden Nederland
351,51.873,4.386,Knooppunt Benelux,2,Zuid Holland Zuid 
352,51.865,4.515,Vaanplein,2,Zuid Holland Zuid 
353,51.904,4.543,Van Brienenoordbrug,2,Zuid Holland Zuid 
354,51.858,4.596,Knooppunt Ridderkerk,2,Zuid Holland Zuid 
355,51.693,4.402,Volkeraksluis,2,Zuid Holland Zuid 
356,51.781,4.419,De Hoge Lus,2,Zuid Holland Zuid 
357,51.776,4.650,s Gravendeel,5,Brabant West
358,51.824,4.800,Alblasserdam,5,Brabant West
359,51.830,4.876,Buldersteeg,5,Brabant West
360,51.829,4.943,Merwedebrug,1,Midden Nederland
361,51.940,5.004,De Zouwe,1,Midden Nederland
362,51.963,5.087,Everdingen,1,Midden Nederland
363,51.942,5.147,Diefdijk,1,Midden Nederland
364,51.877,4.569,Ridderster,2,Zuid Holland Zuid 
371,51.799,3.939,Ouddorp Haven,9,Zeeland
372,51.845,4.075,Haringvliet,2,Zuid Holland Zuid 
373,51.901,4.231,Calandbrug,2,Zuid Holland Zuid 
374,51.822,4.706,Papendrechtsebrug,5,Brabant West
410,52.027,5.610,Maanderbroek,10,Gelderland
411,52.022,5.727,De Ginkel,10,Gelderland
412,52.023,5.884,Waterberg,10,Gelderland
413,51.973,5.991,IJsselbrug,10,Gelderland
414,51.908,6.153,Babberich,10,Gelderland
415,51.948,6.322,Doetinchem,10,Gelderland
416,52.002,5.804,De Slenk,10,Gelderland
417,52.047,5.938,Terlet,10,Gelderland
418,52.117,5.569,Barneveld,10,Gelderland
419,52.098,6.662,Groenlo,10,Gelderland
451,51.843,5.095,Vuren,1,Midden Nederland
452,51.857,5.227,Deil,1,Midden Nederland
453,51.900,5.420,Tiel,10,Gelderland
454,51.897,5.868,Knooppunt Ressen,10,Gelderland
